Country Code,Country,Pillar 1,Pillar 2,Pillar 3,Pillar 4,Pillar 5,Pillar 6,Pillar 7,Pillar 8,Pillar 9,Pillar 10,Pillar 11,Pillar 12
ZAF,South Africa,4.424717663,4.118757077,4.502443542,4.219451264,4.072253992,4.629928083,3.817245012,5.028691832,4.5591478,4.944046913,4.422616263,3.689496028
ESP,Spain,3.94360196,5.934297628,4.028504511,6.23519176,5.075468681,4.34725697,4.039651733,3.783399249,5.562468669,5.423092392,4.4622694,3.718010767
LKA,Sri Lanka,4.062257277,4.158023097,4.064708796,6.101915291,4.382104493,4.446964666,3.37080299,4.12315716,3.308530711,4.136723148,4.254744532,3.645313742
SWZ,Swaziland,3.84870076,3.077364243,4.37960134,3.520625662,3.112837066,3.978280492,3.895551051,3.680864983,2.640166305,2.114409302,3.344813252,2.688110082
SWE,Sweden,5.578364305,5.552420644,6.084017273,6.394175719,5.665417397,5.082696158,4.817243615,4.98813447,6.242228395,4.636258699,5.441189624,5.457432807
CHE,Switzerland,5.766670847,6.204708537,6.538330799,6.526291961,5.998939478,5.380982253,5.798600017,5.102511806,6.314145046,4.687977434,5.794629651,5.764284283
TWN,"Taiwan, China",4.855378363,5.866762222,6.160126917,6.469330783,5.601159669,5.192448754,4.766677298,4.819878767,5.49013989,5.240720764,5.013250141,5.097359026
TJK,Tajikistan,4.102726869,2.933002165,4.644746867,5.608915818,4.1232486,4.119398648,4.4247567,3.380699182,2.811705965,2.719537351,3.803699157,3.321957042
TZA,Tanzania,3.539473122,2.407578746,4.532023925,4.278901113,2.472815207,3.887620863,4.436814419,3.446185093,2.463646134,3.758177475,3.43403932,3.031731879
THA,Thailand,3.692747566,4.615933657,5.676737083,5.760570542,4.571204051,4.685402853,4.233698663,4.381780489,4.23593104,5.245057411,4.35530128,3.40773422
TTO,Trinidad and Tobago,3.366595883,4.457212469,4.870051009,5.897114603,4.261042083,4.051541217,3.97067629,4.035138917,4.229827631,3.025534574,3.926059976,3.052135981
TUN,Tunisia,3.759856534,3.728534136,4.331476341,5.917700578,4.119723507,3.916270336,3.329032751,3.111268132,3.574968312,3.874377325,3.582913279,2.944299335
TUR,Turkey,3.84370639,4.434619005,4.747450605,5.686921501,4.578157124,4.52969007,3.456061935,3.932601046,4.082652617,5.412177976,4.065355235,3.353324911
UGA,Uganda,3.445025794,2.365828826,4.763992218,4.45721919,2.707386501,3.902987202,4.649122695,3.73892483,2.796884928,3.432352321,3.53977133,3.157121669
UKR,Ukraine,3.07206331,4.068354186,3.121059965,6.056829378,5.027527508,4.023707142,4.331976156,3.178894738,3.445381115,4.542660052,3.696016914,3.413052603
ARE,United Arab Emirates,5.705834071,6.296638567,6.52996,6.153183188,4.965481227,5.593284631,5.0973402,4.704123245,5.431911437,4.886629826,5.251370287,4.412362449
GBR,United Kingdom,5.45949534,6.030391206,4.171702078,6.409183641,5.556858442,5.221589973,5.306382033,4.834068634,6.30041932,5.743423291,5.536228625,5.018637411
USA,United States,4.817516898,5.870203216,4.348771429,6.054100839,5.86562329,5.101968197,5.398847998,5.454396854,5.848402696,6.910436154,5.59690922,5.581744691
URY,Uruguay,4.736971265,4.43953942,4.310357887,5.932093403,4.741945147,4.370245678,3.410286814,3.863182594,4.806800787,3.356245609,3.750544045,3.211810878
VEN,Venezuela,2.094054879,2.629220599,2.922473481,5.475661731,4.515053099,2.812357245,2.586246095,2.836540525,3.139589961,4.704013486,2.977481538,2.434495175
VNM,Vietnam,3.678541016,3.843970651,4.740518617,5.892248478,3.800211062,4.226770585,4.384247182,3.652318332,3.316994915,4.840053367,3.633178393,3.246544724
ZMB,Zambia,4.204953451,2.626651357,4.534630692,4.333471827,4.092515444,4.434725416,4.060442196,3.958359706,2.998618969,3.335979308,3.737462616,3.419424268
ZWE,Zimbabwe,3.318738652,2.353738537,4.200891088,4.937356831,3.141211591,3.54490249,3.294891368,3.058089452,2.788046175,2.814652928,3.175795719,2.633582393
