AGE,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS
25,37,18,19,0.486,3.5,0.9,2.5,0.374,0.3,1.1,0.308,1.2,1.3,0.918,0.1,0.4,0.5,0.4,0.2,0.1,0,0.3,0.4,0.9,3.4,-0.4,4.5
21,1,0,1,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,0
30,5,1,4,0.2,0.9,0,0,0,0,0,0,0.4,0.4,1,0,0.2,0.2,0,0,0,0,0,0.2,0.2,0.4,-0.4,0.6
27,33,18,15,0.545,3.7,0.5,1.3,0.341,0.1,0.5,0.125,0.6,0.7,0.833,0.1,0.4,0.4,0.1,0.2,0.1,0,0,0.2,0.7,1.6,0.7,2.3
29,25,17,8,0.68,2.8,0.2,0.6,0.375,0.1,0.4,0.182,0.1,0.1,0.667,0,0.3,0.3,0.2,0.2,0.1,0.2,0,0.2,0.1,0.6,0.5,1.9
29,30,13,17,0.433,2.8,0.2,0.7,0.35,0.1,0.4,0.25,0,0,0,0.1,0.2,0.3,0.1,0.1,0,0,0.1,0.6,0,0.6,-1.8,1.2
28,26,12,14,0.462,2.7,0.3,0.8,0.35,0,0.2,0,0,0,1,0.2,0.3,0.5,0.1,0.1,0.1,0.2,0.1,0.4,0,0.6,-1,2
28,33,12,21,0.364,3.5,0.5,1.2,0.421,0.2,0.6,0.4,0.5,0.6,0.842,0.1,0.3,0.4,0.3,0.3,0.2,0,0,0.5,0.4,1.7,-1.4,2.7
23,3,1,2,0.333,0.3,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,-1.7,0
33,5,2,3,0.4,1.9,0,0,0,0,0,0,0,0,0,0,0.4,0.4,0,0,0,0,0,0,0,0,-1,0.5
35,7,4,3,0.571,3.3,0,0.3,0,0,0,0,0,0,0,0,0.1,0.1,0,0,0.3,0.6,0,0.7,0,0,-0.4,2.7
27,37,24,13,0.649,3.7,0.5,0.6,0.708,0,0,0,0.8,1.4,0.538,0.5,0.8,1.4,0,0.1,0.1,0.4,0,0.5,1,1.7,0,4.6
27,1,0,1,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
26,47,30,17,0.638,3.4,0.9,2.2,0.39,0.1,0.1,0.5,1.1,1.3,0.839,0.1,0.3,0.5,0.3,0.2,0.1,0,0.2,0.3,0.9,2.9,1.2,4.1
25,36,15,21,0.417,3.2,0.7,2,0.347,0,0.2,0.125,0.9,1.1,0.78,0.4,0.7,1.1,0.2,0.5,0.1,0.1,0.2,0.5,1.2,2.3,-0.7,4.1
29,15,7,8,0.467,2.9,0.1,0.5,0.25,0.1,0.5,0.286,0.2,0.3,0.75,0.1,0.5,0.5,0,0,0.1,0.1,0,0.5,0.3,0.6,-0.7,1.6
24,2,1,1,0.5,1.4,0.5,0.5,1,0,0,0,1,1,1,0,0,0,0,0,0,0.5,0,0,0.5,2,1,3.5
22,13,4,9,0.308,3.8,0.7,1.8,0.391,0.2,0.8,0.2,0.6,0.8,0.727,0,0.4,0.4,0.9,0.2,0.1,0,0.2,0.3,0.5,2.2,-0.5,4
32,36,18,18,0.5,4.9,1.2,2.4,0.506,0.5,0.9,0.515,0.8,0.9,0.906,0.1,0.4,0.5,0.8,0.2,0.1,0.1,0.2,0.3,0.7,3.7,1.4,5.9
