id,race,region,sex,degree,sibs,wrkstat,childs,hompop,earnrs,adults,educ,marital,happy,income,age,sei,maeduc,pasei,agekdbrn,paeduc,hapunhap,trust
451,1,4,2,4,2,2,1,3,2,2,18,1,2,12,35,79.9,16,67,33,18,0,0
453,1,4,2,3,2,7,3,2,1,2,18,1,3,12,51,80.3,12,55.1,30,12,2,1
455,1,4,2,1,7,7,1,2,1,2,12,1,2,12,58,29.6,8,38.2,31,8,2,2
457,1,4,2,3,1,5,3,2,0,2,16,1,2,12,64,63.5,12,89.2,27,16,1,1
459,1,4,2,3,2,1,0,2,2,2,16,1,2,12,31,64.1,14,-1,0,20,2,2
461,1,6,2,1,5,1,2,1,1,1,12,3,3,13,47,38,97,28.6,18,12,0,0
462,1,6,2,1,4,1,2,5,2,2,13,1,2,12,36,69.2,10,31.5,20,4,2,2
463,1,6,2,1,1,2,0,4,2,3,12,5,1,12,19,32.4,12,50.7,0,12,0,0
467,1,6,2,1,5,7,1,5,5,3,13,5,2,12,23,30.7,14,32.3,20,12,0,0
472,1,6,2,0,13,7,2,4,1,3,2,1,2,12,62,28.4,0,37.3,30,0,2,2
473,1,6,2,0,5,1,5,2,2,2,6,3,3,6,52,37.6,97,29.2,15,97,4,2
474,3,6,2,3,2,2,3,2,2,2,16,1,1,12,64,29.8,12,59.3,22,18,1,2
475,1,6,2,2,5,5,4,1,0,1,14,2,3,13,76,38.4,8,65.8,18,8,2,2
477,3,6,2,1,6,7,2,3,1,1,9,5,2,3,38,32.7,5,49.6,23,5,2,3
480,1,6,2,1,3,1,1,2,2,2,14,1,2,98,54,40.1,12,42.9,20,12,2,1
483,2,6,2,1,6,2,1,1,1,1,12,5,1,2,20,22.5,98,-1,18,97,1,2
484,2,6,2,0,5,1,1,1,2,1,12,5,3,1,22,22.5,98,-1,19,12,2,2
485,2,6,2,0,6,4,1,1,2,1,11,4,3,2,23,32.4,98,63.5,22,98,4,2
486,2,6,2,1,7,1,1,1,2,1,13,4,3,11,31,33.6,16,29.2,20,10,2,2
487,1,6,2,1,4,1,1,2,2,2,12,1,2,12,50,33.2,10,38.2,23,9,1,1
488,2,6,2,3,3,1,0,1,1,1,16,1,3,12,28,51,12,-1,0,97,2,2
490,1,6,2,1,1,7,3,2,1,2,13,1,2,12,48,38.4,12,58.3,30,12,1,2
491,1,6,2,3,2,2,3,5,2,2,16,1,2,12,37,62.5,12,48.8,30,12,1,2
493,1,6,2,3,3,1,2,4,2,2,16,1,2,12,43,76.4,10,37.3,26,12,2,2
494,1,6,2,4,3,1,3,4,3,3,19,1,2,13,52,92.3,12,32.3,25,12,2,2
496,1,1,2,3,4,2,0,1,1,1,17,5,1,3,24,97.2,16,76.4,0,17,2,1
498,3,1,2,0,4,2,3,1,2,1,11,5,3,11,42,29.3,98,-1,18,98,1,2
499,1,1,2,4,1,2,2,4,2,2,18,1,2,12,42,87,10,-1,35,12,0,0
501,1,1,2,3,6,5,7,1,0,1,16,2,1,8,74,73.2,8,26.9,23,8,1,2
502,3,1,2,0,4,1,3,3,3,3,8,1,2,12,42,29.4,0,37.6,19,6,2,2
503,1,1,2,0,6,7,2,3,2,2,6,1,3,9,39,-1,98,26.5,17,98,0,0
505,1,1,2,1,3,2,2,2,2,2,12,1,1,12,62,87.9,12,52.4,20,12,1,2
506,1,1,2,1,3,1,2,4,2,2,12,1,2,13,42,37.7,12,-1,27,97,0,0
507,1,1,2,1,0,4,0,3,3,3,13,5,1,98,20,-1,98,-1,0,97,0,0
512,1,1,2,1,3,2,2,4,9,2,14,1,9,13,40,-1,12,37.3,26,14,0,0
513,1,1,2,0,1,1,4,1,1,1,9,3,2,9,57,36.5,12,29.3,16,97,2,1
514,1,1,2,4,0,1,2,1,1,1,16,3,3,12,57,80.3,10,38,32,14,3,2
515,1,1,2,4,1,1,1,2,1,1,18,3,2,12,38,64.2,14,80.3,26,16,2,3
516,1,1,2,1,6,1,2,4,4,4,14,1,1,12,45,38.5,12,38.4,21,13,1,2
517,1,1,2,1,2,2,2,2,2,2,12,1,2,12,48,33.1,12,28.4,25,6,0,0
518,1,1,2,3,1,1,3,3,3,3,16,1,1,12,54,33.1,12,43.3,28,16,0,0
519,1,1,2,4,2,1,4,11,3,3,18,1,2,12,45,85.1,20,97.2,26,20,2,1
521,3,1,2,4,3,1,2,3,1,1,20,3,1,12,37,97.2,16,76.4,31,20,1,1
522,3,1,2,3,1,2,2,4,2,2,16,1,2,12,35,36.5,12,63.9,30,14,1,1
523,1,1,2,1,11,7,5,6,6,2,12,2,2,10,71,19.4,12,19.4,17,12,1,2
524,1,1,2,2,3,5,2,3,2,3,14,1,1,12,54,38,12,45.9,26,12,0,0
525,2,4,2,1,4,1,0,2,1,1,11,5,3,10,23,27.5,9,-1,0,97,0,0
526,2,4,2,1,2,1,2,2,1,2,12,5,2,3,24,27.7,12,-1,20,97,0,0
527,2,4,2,3,0,2,0,2,2,2,16,5,1,12,22,40.1,97,69.7,0,16,1,1
529,2,4,2,3,7,1,1,3,2,2,16,1,3,12,27,69.2,0,31.5,25,6,2,2
530,2,4,2,4,1,1,4,1,1,1,16,3,2,13,50,-1,12,-1,18,97,2,2
531,1,4,2,1,4,2,0,2,2,2,12,1,1,12,19,38,12,-1,0,12,2,2
533,1,4,2,1,4,1,0,2,2,2,15,1,2,12,51,60.6,12,73.6,0,12,0,0
536,1,4,2,1,4,7,0,2,2,2,14,5,2,12,29,63.5,12,-1,0,97,0,0
539,1,4,2,3,3,1,5,1,1,1,18,3,2,13,37,73.2,20,-1,28,97,2,2
541,1,4,2,1,7,1,1,3,2,2,12,1,3,12,30,33.1,12,-1,22,97,0,0
544,1,4,2,0,2,1,0,3,3,3,12,5,3,98,19,22.5,12,63.5,0,12,2,2
545,3,4,2,2,10,1,0,2,1,2,14,5,2,10,32,34.8,98,48.5,0,10,2,2
546,1,4,2,0,2,3,1,2,1,2,11,5,1,98,44,29.1,98,-1,16,97,0,0
547,1,7,2,1,7,5,1,1,1,1,12,2,2,12,63,36.5,4,26.5,24,6,1,2
549,1,7,2,1,6,1,2,1,1,1,12,3,3,12,33,38.9,13,28.4,20,12,2,2
550,1,7,2,1,1,5,5,1,0,1,12,4,1,9,62,34.8,12,38.1,17,12,1,2
551,3,7,2,1,4,1,2,1,2,1,12,1,2,12,50,29.8,6,49.6,20,10,0,0
552,1,7,2,1,6,5,4,1,0,1,12,2,2,98,81,38.4,2,32.3,28,13,0,0
553,1,7,2,1,6,7,2,2,3,2,12,1,2,12,56,52.3,10,31.5,26,12,0,0
554,1,7,2,1,2,5,2,2,0,2,14,1,1,98,62,38.5,12,38.2,21,11,1,1
560,3,7,2,1,2,1,0,1,1,1,14,5,2,12,26,51.9,13,35.4,0,15,1,2
561,1,7,2,3,0,5,0,1,0,1,16,3,3,12,68,73.2,12,26.9,0,98,2,2
562,1,7,2,1,4,1,0,2,2,2,14,5,2,12,20,63.2,16,-1,0,97,1,1
565,1,7,2,1,0,5,2,1,0,1,13,2,2,13,73,38.9,12,52.5,21,12,0,0
566,1,7,2,3,7,1,0,1,1,1,17,3,3,11,37,33.1,8,37.3,0,3,4,2
